location,month,pLocalTransmissionAve,pLocalTransmissionMin,pLocalTransmissionMax,localcases
Bilbao,3/1/2014 0:00,0,0,0,0
Biarritz,3/1/2014 0:00,0,0,0,0
Bejaia,3/1/2014 0:00,0,0,0.02,0
Bodrum,3/1/2014 0:00,0,0,0,0
Batna,3/1/2014 0:00,0,0,0,0
Nashville,3/1/2014 0:00,0,0,0.03,0
Boston,3/1/2014 0:00,0,0,0,0
Bari,3/1/2014 0:00,0,0,0,0
Brussels,3/1/2014 0:00,0,0,0,0
Biskra,3/1/2014 0:00,0,0,0,0
Basel,3/1/2014 0:00,0,0,0,0
Buffalo,3/1/2014 0:00,0,0,0,0
Baltimore,3/1/2014 0:00,0,0,0,0
Belize,3/1/2014 0:00,0,0,0,0
Akron,3/1/2014 0:00,0,0,0,0
Clermont-Ferrand,3/1/2014 0:00,0,0,0,0
Chania,3/1/2014 0:00,0,0,0,0
Cleveland,3/1/2014 0:00,0,0,0,0
Calvi,3/1/2014 0:00,0,0,0.05,0
"Columbus, OH, US",3/1/2014 0:00,0,0,0,0
Catania,3/1/2014 0:00,0,0,0.01,0
Cumana,3/1/2014 0:00,0,0,0,0
Cincinnati,3/1/2014 0:00,0,0,0,0
Constantine,3/1/2014 0:00,0,0,0.01,0
Dayton,3/1/2014 0:00,0,0,0,0
Washington DC,3/1/2014 0:00,0,0,0,0
Denver,3/1/2014 0:00,0,0,0,0
Djerba,3/1/2014 0:00,0,0,0.03,0
Moscow,3/1/2014 0:00,0,0,0,0
Des Moines,3/1/2014 0:00,0,0,0,0
Detroit,3/1/2014 0:00,0,0,0,0
Dusseldorf,3/1/2014 0:00,0,0,0,0
Dzaoudzi,3/1/2014 0:00,0,0,0,0
El Paso,3/1/2014 0:00,0,0,0,0
Fortaleza,3/1/2014 0:00,0,0,0,0
Frankfurt,3/1/2014 0:00,0,0,0,0
Guadalajara,3/1/2014 0:00,0,0,0,0
Grand Rapids,3/1/2014 0:00,0,0,0,0
Greensboro,3/1/2014 0:00,0,0,0,0
"Greenville, SC, US",3/1/2014 0:00,0,0,0,0
Geneva,3/1/2014 0:00,0,0,0,0
Guayaquil,3/1/2014 0:00,0,0,0.01,0
Goiania,3/1/2014 0:00,0,0,0.01,0
Hamburg,3/1/2014 0:00,0,0,0,0
Heraklion,3/1/2014 0:00,0,0,0,0
Tokyo,3/1/2014 0:00,0,0,0,0
Huntsville,3/1/2014 0:00,0,0,0,0
Ibiza,3/1/2014 0:00,0,0,0,0
Wichita,3/1/2014 0:00,0,0,0,0
Kiev,3/1/2014 0:00,0,0,0,0
Indianapolis,3/1/2014 0:00,0,0,0,0
Istanbul,3/1/2014 0:00,0,0,0,0
Jackson,3/1/2014 0:00,0,0,0.01,0
Mikonos,3/1/2014 0:00,0,0,0,0
Santorini,3/1/2014 0:00,0,0,0,0
Kos,3/1/2014 0:00,0,0,0,0
Krasnodar,3/1/2014 0:00,0,0,0,0
Las Vegas,3/1/2014 0:00,0,0,0,0
Lubbock,3/1/2014 0:00,0,0,0.01,0
Lourdes,3/1/2014 0:00,0,0,0,0
Lexington,3/1/2014 0:00,0,0,0,0
Little Rock,3/1/2014 0:00,0,0,0.01,0
Madrid,3/1/2014 0:00,0,0,0,0
Odessa,3/1/2014 0:00,0,0,0.01,0
Manaus,3/1/2014 0:00,0,0,0,0
Kansas City,3/1/2014 0:00,0,0,0,0
Chicago,3/1/2014 0:00,0,0,0,0
Memphis,3/1/2014 0:00,0,0,0.01,0
Monastir,3/1/2014 0:00,0,0,0.01,0
Milwaukee,3/1/2014 0:00,0,0,0,0
Monroe,3/1/2014 0:00,0,0,0,0
Montserrat,3/1/2014 0:00,0,0,0,0
Minneapolis,3/1/2014 0:00,0,0,0,0
Monterrey,3/1/2014 0:00,0,0,0.01,0
Maturin,3/1/2014 0:00,0,0,0,0
Naples,3/1/2014 0:00,0,0,0,0
Oklahoma City,3/1/2014 0:00,0,0,0.01,0
Omaha,3/1/2014 0:00,0,0,0,0
Norfolk,3/1/2014 0:00,0,0,0,0
Oran,3/1/2014 0:00,0,0,0.03,0
Paphos,3/1/2014 0:00,0,0,0,0
Philadelphia,3/1/2014 0:00,0,0,0,0
Pittsburgh,3/1/2014 0:00,0,0,0,0
Palma de Mallorca,3/1/2014 0:00,0,0,0.06,0
Palermo,3/1/2014 0:00,0,0,0.01,0
Porlamar,3/1/2014 0:00,0,0,0,0
Pau,3/1/2014 0:00,0,0,0,0
Providence,3/1/2014 0:00,0,0,0,0
Setif,3/1/2014 0:00,0,0,0.01,0
Raleigh,3/1/2014 0:00,0,0,0.03,0
Recife,3/1/2014 0:00,0,0,0,0
Richmond,3/1/2014 0:00,0,0,0,0
"Rochester, NY, US",3/1/2014 0:00,0,0,0,0
Louisville,3/1/2014 0:00,0,0,0,0
Seattle,3/1/2014 0:00,0,0,0,0
Salt Lake City,3/1/2014 0:00,0,0,0,0
Salvador,3/1/2014 0:00,0,0,0,0
Sharm el-Sheikh,3/1/2014 0:00,0,0,0,0
St. Louis,3/1/2014 0:00,0,0,0,0
Lamezia Terme,3/1/2014 0:00,0,0,0,0
Strasbourg,3/1/2014 0:00,0,0,0,0
Syracuse,3/1/2014 0:00,0,0,0,0
Tegucigalpa,3/1/2014 0:00,0,0,0.01,0
Tel Aviv,3/1/2014 0:00,0,0,0.04,0
Venice,3/1/2014 0:00,0,0,0,0
Tulsa,3/1/2014 0:00,0,0,0.01,0
Tunis,3/1/2014 0:00,0,0,0.06,0
Knoxville,3/1/2014 0:00,0,0,0,0
Quito,3/1/2014 0:00,0,0,0.02,0
Valencia,3/1/2014 0:00,0,0,0,0
Villahermosa,3/1/2014 0:00,0,0,0,0
Springdale,3/1/2014 0:00,0,0,0.01,0
Ottawa,3/1/2014 0:00,0,0,0,0
Quebec City,3/1/2014 0:00,0,0,0,0
Toronto,3/1/2014 0:00,0,0,0,0
Montreal,3/1/2014 0:00,0,0,0,0
Zakinthos,3/1/2014 0:00,0,0,0,0
Annaba,4/1/2014 0:00,0,0,0.02,0
Anapa,4/1/2014 0:00,0,0,0,0
Atlantic City,4/1/2014 0:00,0,0,0,0
Malaga,4/1/2014 0:00,0,0,0.01,0
Alicante,4/1/2014 0:00,0,0,0.04,0
Amsterdam,4/1/2014 0:00,0,0,0.01,0
Athens,4/1/2014 0:00,0,0,0.02,0
Antalya,4/1/2014 0:00,0,0,0,0
Hartford,4/1/2014 0:00,0,0,0,0
Berlin,4/1/2014 0:00,0,0,0.02,0
Beirut,4/1/2014 0:00,0,0,0.02,0
Milan,4/1/2014 0:00,0,0,0,0
Bilbao,4/1/2014 0:00,0,0,0,0
Bejaia,4/1/2014 0:00,0,0,0.05,0
Bodrum,4/1/2014 0:00,0,0,0,0
Batna,4/1/2014 0:00,0,0,0.01,0
Nashville,4/1/2014 0:00,0,0,0.06,0
Boston,4/1/2014 0:00,0,0,0,0
Bari,4/1/2014 0:00,0,0,0.01,0
Brussels,4/1/2014 0:00,0,0,0.02,0
Biskra,4/1/2014 0:00,0,0,0.02,0
Basel,4/1/2014 0:00,0,0,0,0
Buffalo,4/1/2014 0:00,0,0,0,0
Baltimore,4/1/2014 0:00,0,0,0.03,0
Belize,4/1/2014 0:00,0,0,0,0
Akron,4/1/2014 0:00,0,0,0,0
Chania,4/1/2014 0:00,0,0,0,0
Cleveland,4/1/2014 0:00,0,0,0,0
"Columbus, OH, US",4/1/2014 0:00,0,0,0.03,0
Catania,4/1/2014 0:00,0,0,0,0
Cumana,4/1/2014 0:00,0,0,0,0
Cincinnati,4/1/2014 0:00,0,0,0.03,0
Constantine,4/1/2014 0:00,0,0,0.03,0
Dayton,4/1/2014 0:00,0,0,0.01,0
Denver,4/1/2014 0:00,0,0,0,0
Djerba,4/1/2014 0:00,0,0,0.02,0
Moscow,4/1/2014 0:00,0,0,0,0
Des Moines,4/1/2014 0:00,0,0,0,0
Detroit,4/1/2014 0:00,0,0,0.01,0
Dusseldorf,4/1/2014 0:00,0,0,0.03,0
Dzaoudzi,4/1/2014 0:00,0,0,0,0
El Paso,4/1/2014 0:00,0,0,0.01,0
Fortaleza,4/1/2014 0:00,0,0,0.01,0
Frankfurt,4/1/2014 0:00,0,0,0.03,0
Figari,4/1/2014 0:00,0,0,0.02,0
Grand Rapids,4/1/2014 0:00,0,0,0,0
Greensboro,4/1/2014 0:00,0,0,0.02,0
"Greenville, SC, US",4/1/2014 0:00,0,0,0,0
Geneva,4/1/2014 0:00,0,0,0.01,0
Goiania,4/1/2014 0:00,0,0,0.01,0
Hamburg,4/1/2014 0:00,0,0,0.01,0
Heraklion,4/1/2014 0:00,0,0,0,0
Tokyo,4/1/2014 0:00,0,0,0.01,0
Huntsville,4/1/2014 0:00,0,0,0.01,0
Ibiza,4/1/2014 0:00,0,0,0.03,0
Wichita,4/1/2014 0:00,0,0,0.01,0
Kiev,4/1/2014 0:00,0,0,0,0
Indianapolis,4/1/2014 0:00,0,0,0.02,0
Jackson,4/1/2014 0:00,0,0,0.02,0
Mikonos,4/1/2014 0:00,0,0,0,0
Santorini,4/1/2014 0:00,0,0,0,0
Kos,4/1/2014 0:00,0,0,0,0
Krasnodar,4/1/2014 0:00,0,0,0,0
Las Vegas,4/1/2014 0:00,0,0,0,0
Lubbock,4/1/2014 0:00,0,0,0,0
Lourdes,4/1/2014 0:00,0,0,0,0
Lexington,4/1/2014 0:00,0,0,0.01,0
Little Rock,4/1/2014 0:00,0,0,0.02,0
Madrid,4/1/2014 0:00,0,0,0.02,0
Odessa,4/1/2014 0:00,0,0,0,0
Kansas City,4/1/2014 0:00,0,0,0.01,0
Memphis,4/1/2014 0:00,0,0,0.03,0
Merida,4/1/2014 0:00,0,0,0.01,0
Monastir,4/1/2014 0:00,0,0,0.04,0
Milwaukee,4/1/2014 0:00,0,0,0,0
Monroe,4/1/2014 0:00,0,0,0,0
Montserrat,4/1/2014 0:00,0,0,0,0
Minneapolis,4/1/2014 0:00,0,0,0,0
Monterrey,4/1/2014 0:00,0,0,0.02,0
Maturin,4/1/2014 0:00,0,0,0,0
Montevideo,4/1/2014 0:00,0,0,0.04,0
Naples,4/1/2014 0:00,0,0,0.01,0
Oklahoma City,4/1/2014 0:00,0,0,0.02,0
Omaha,4/1/2014 0:00,0,0,0,0
Norfolk,4/1/2014 0:00,0,0,0.03,0
Paphos,4/1/2014 0:00,0,0,0,0
Perpignan,4/1/2014 0:00,0,0,0.03,0
Pittsburgh,4/1/2014 0:00,0,0,0.01,0
Porlamar,4/1/2014 0:00,0,0,0,0
Providence,4/1/2014 0:00,0,0,0,0
Richmond,4/1/2014 0:00,0,0,0.04,0
"Rochester, NY, US",4/1/2014 0:00,0,0,0,0
San Diego,4/1/2014 0:00,0,0,0.05,0
Savannah,4/1/2014 0:00,0,0,0.04,0
Louisville,4/1/2014 0:00,0,0,0.03,0
Seattle,4/1/2014 0:00,0,0,0,0
Salt Lake City,4/1/2014 0:00,0,0,0,0
Sharm el-Sheikh,4/1/2014 0:00,0,0,0.02,0
Lamezia Terme,4/1/2014 0:00,0,0,0,0
Strasbourg,4/1/2014 0:00,0,0,0,0
Syracuse,4/1/2014 0:00,0,0,0,0
Tel Aviv,4/1/2014 0:00,0,0,0.02,0
Venice,4/1/2014 0:00,0,0,0,0
Tulsa,4/1/2014 0:00,0,0,0.03,0
Knoxville,4/1/2014 0:00,0,0,0.02,0
Valencia,4/1/2014 0:00,0,0,0.01,0
Villahermosa,4/1/2014 0:00,0,0,0,0
Springdale,4/1/2014 0:00,0,0,0.01,0
Ottawa,4/1/2014 0:00,0,0,0,0
Quebec City,4/1/2014 0:00,0,0,0,0
Montreal,4/1/2014 0:00,0,0,0,0
Zakinthos,4/1/2014 0:00,0,0,0,0
Annaba,5/1/2014 0:00,0,0,0.03,0
Anapa,5/1/2014 0:00,0,0,0.01,0
Atlantic City,5/1/2014 0:00,0,0,0.04,0
Malaga,5/1/2014 0:00,0,0,0.01,0
Bilbao,5/1/2014 0:00,0,0,0.04,0
Bangkok,5/1/2014 0:00,0,0,0,0
Bari,5/1/2014 0:00,0,0,0.03,0
Akron,5/1/2014 0:00,0,0,0.04,0
Chania,5/1/2014 0:00,0,0,0.01,0
Constantine,5/1/2014 0:00,0,0,0.03,0
Denver,5/1/2014 0:00,0,0,0.01,0
Dzaoudzi,5/1/2014 0:00,0,0,0,0
Fortaleza,5/1/2014 0:00,0,0,0,0
"Greenville, SC, US",5/1/2014 0:00,0,0,0.03,0
Tokyo,5/1/2014 0:00,0,0,0.01,0
Mikonos,5/1/2014 0:00,0,0,0.02,0
Santorini,5/1/2014 0:00,0,0,0.01,0
Krasnodar,5/1/2014 0:00,0,0,0,0
Lourdes,5/1/2014 0:00,0,0,0.06,0
Lexington,5/1/2014 0:00,0,0,0.03,0
Merida,5/1/2014 0:00,0,0,0.01,0
Monroe,5/1/2014 0:00,0,0,0.01,0
Montserrat,5/1/2014 0:00,0,0,0.01,0
Manila,5/1/2014 0:00,0,0,0.01,0
Montevideo,5/1/2014 0:00,0,0,0.03,0
Paphos,5/1/2014 0:00,0,0,0.02,0
Providence,5/1/2014 0:00,0,0,0.02,0
"Rochester, NY, US",5/1/2014 0:00,0,0,0.06,0
Seattle,5/1/2014 0:00,0,0,0.03,0
Salt Lake City,5/1/2014 0:00,0,0,0.04,0
Lamezia Terme,5/1/2014 0:00,0,0,0.01,0
Syracuse,5/1/2014 0:00,0,0,0.05,0
Villahermosa,5/1/2014 0:00,0,0,0.01,0
Ottawa,5/1/2014 0:00,0,0,0.02,0
Quebec City,5/1/2014 0:00,0,0,0,0
Chania,6/1/2014 0:00,0,0,0,0
Fortaleza,6/1/2014 0:00,0,0,0.01,0
Krasnodar,6/1/2014 0:00,0,0,0.02,0
Montserrat,6/1/2014 0:00,0,0,0,0
Oran,6/1/2014 0:00,0,0,0,0
Fortaleza,7/1/2014 0:00,0,0,0,0
Montserrat,8/1/2014 0:00,0,0,0,0
Dzaoudzi,9/1/2014 0:00,0,0,0,0
Sharm el-Sheikh,9/1/2014 0:00,0,0,0,0
Quebec City,9/1/2014 0:00,0,0,0.01,0
Anapa,10/1/2014 0:00,0,0,0,0
Atlantic City,10/1/2014 0:00,0,0,0.02,0
Malaga,10/1/2014 0:00,0,0,0.03,0
Athens,10/1/2014 0:00,0,0,0.03,0
Antalya,10/1/2014 0:00,0,0,0.01,0
Berlin,10/1/2014 0:00,0,0,0.01,0
Bilbao,10/1/2014 0:00,0,0,0.01,0
Bejaia,10/1/2014 0:00,0,0,0.02,0
Bodrum,10/1/2014 0:00,0,0,0.01,0
Batna,10/1/2014 0:00,0,0,0.03,0
Bari,10/1/2014 0:00,0,0,0.01,0
Brussels,10/1/2014 0:00,0,0,0.04,0
Biskra,10/1/2014 0:00,0,0,0.03,0
Basel,10/1/2014 0:00,0,0,0,0
Buffalo,10/1/2014 0:00,0,0,0.03,0
Akron,10/1/2014 0:00,0,0,0.01,0
Chania,10/1/2014 0:00,0,0,0,0
Cleveland,10/1/2014 0:00,0,0,0.05,0
Dayton,10/1/2014 0:00,0,0,0.04,0
Denver,10/1/2014 0:00,0,0,0,0
Moscow,10/1/2014 0:00,0,0,0,0
Des Moines,10/1/2014 0:00,0,0,0.01,0
Dusseldorf,10/1/2014 0:00,0,0,0.01,0
Frankfurt,10/1/2014 0:00,0,0,0.02,0
Grand Rapids,10/1/2014 0:00,0,0,0.01,0
"Greenville, SC, US",10/1/2014 0:00,0,0,0.02,0
Geneva,10/1/2014 0:00,0,0,0.01,0
Hamburg,10/1/2014 0:00,0,0,0,0
Tokyo,10/1/2014 0:00,0,0,0.04,0
Huntsville,10/1/2014 0:00,0,0,0.02,0
Wichita,10/1/2014 0:00,0,0,0.04,0
Kiev,10/1/2014 0:00,0,0,0,0
Jackson,10/1/2014 0:00,0,0,0.03,0
Mikonos,10/1/2014 0:00,0,0,0,0
Santorini,10/1/2014 0:00,0,0,0,0
Kos,10/1/2014 0:00,0,0,0,0
Krasnodar,10/1/2014 0:00,0,0,0,0
Lubbock,10/1/2014 0:00,0,0,0.02,0
Lourdes,10/1/2014 0:00,0,0,0.02,0
Lexington,10/1/2014 0:00,0,0,0.03,0
Odessa,10/1/2014 0:00,0,0,0.02,0
Merida,10/1/2014 0:00,0,0,0.01,0
Milwaukee,10/1/2014 0:00,0,0,0.03,0
Monroe,10/1/2014 0:00,0,0,0,0
Mauritius,10/1/2014 0:00,0,0,0,0
Minneapolis,10/1/2014 0:00,0,0,0.01,0
Monterrey,10/1/2014 0:00,0,0,0.05,0
Omaha,10/1/2014 0:00,0,0,0.01,0
Paphos,10/1/2014 0:00,0,0,0,0
Providence,10/1/2014 0:00,0,0,0.01,0
"Rochester, NY, US",10/1/2014 0:00,0,0,0.02,0
Seattle,10/1/2014 0:00,0,0,0.02,0
Salt Lake City,10/1/2014 0:00,0,0,0.01,0
Sharm el-Sheikh,10/1/2014 0:00,0,0,0,0
Lamezia Terme,10/1/2014 0:00,0,0,0,0
Strasbourg,10/1/2014 0:00,0,0,0,0
Syracuse,10/1/2014 0:00,0,0,0.01,0
Knoxville,10/1/2014 0:00,0,0,0.04,0
Valencia,10/1/2014 0:00,0,0,0.02,0
Springdale,10/1/2014 0:00,0,0,0.04,0
Ottawa,10/1/2014 0:00,0,0,0,0
Quebec City,10/1/2014 0:00,0,0,0,0
Montreal,10/1/2014 0:00,0,0,0,0
Zakinthos,10/1/2014 0:00,0,0,0,0
Annaba,11/1/2014 0:00,0,0,0.02,0
Anapa,11/1/2014 0:00,0,0,0,0
Atlantic City,11/1/2014 0:00,0,0,0,0
Malaga,11/1/2014 0:00,0,0,0.02,0
Antalya,11/1/2014 0:00,0,0,0,0
Hartford,11/1/2014 0:00,0,0,0,0
Berlin,11/1/2014 0:00,0,0,0,0
Milan,11/1/2014 0:00,0,0,0,0
Bilbao,11/1/2014 0:00,0,0,0,0
Biarritz,11/1/2014 0:00,0,0,0,0
Bejaia,11/1/2014 0:00,0,0,0.02,0
Bodrum,11/1/2014 0:00,0,0,0,0
Batna,11/1/2014 0:00,0,0,0,0
Bari,11/1/2014 0:00,0,0,0.01,0
Brussels,11/1/2014 0:00,0,0,0.01,0
Biskra,11/1/2014 0:00,0,0,0,0
Basel,11/1/2014 0:00,0,0,0,0
Buffalo,11/1/2014 0:00,0,0,0,0
Akron,11/1/2014 0:00,0,0,0,0
Clermont-Ferrand,11/1/2014 0:00,0,0,0,0
Chania,11/1/2014 0:00,0,0,0,0
Cleveland,11/1/2014 0:00,0,0,0,0
"Columbus, OH, US",11/1/2014 0:00,0,0,0,0
Cincinnati,11/1/2014 0:00,0,0,0,0
Constantine,11/1/2014 0:00,0,0,0,0
Dayton,11/1/2014 0:00,0,0,0,0
Denver,11/1/2014 0:00,0,0,0,0
Moscow,11/1/2014 0:00,0,0,0,0
Des Moines,11/1/2014 0:00,0,0,0,0
Detroit,11/1/2014 0:00,0,0,0,0
El Paso,11/1/2014 0:00,0,0,0.01,0
Frankfurt,11/1/2014 0:00,0,0,0,0
Figari,11/1/2014 0:00,0,0,0.02,0
Grand Rapids,11/1/2014 0:00,0,0,0,0
"Greenville, SC, US",11/1/2014 0:00,0,0,0,0
Geneva,11/1/2014 0:00,0,0,0,0
Hamburg,11/1/2014 0:00,0,0,0,0
Heraklion,11/1/2014 0:00,0,0,0,0
Tokyo,11/1/2014 0:00,0,0,0.05,0
Huntsville,11/1/2014 0:00,0,0,0.01,0
Ibiza,11/1/2014 0:00,0,0,0,0
Wichita,11/1/2014 0:00,0,0,0,0
Kiev,11/1/2014 0:00,0,0,0,0
Indianapolis,11/1/2014 0:00,0,0,0,0
Jackson,11/1/2014 0:00,0,0,0.05,0
Mikonos,11/1/2014 0:00,0,0,0,0
Santorini,11/1/2014 0:00,0,0,0,0
Kos,11/1/2014 0:00,0,0,0,0
Krasnodar,11/1/2014 0:00,0,0,0,0
Las Vegas,11/1/2014 0:00,0,0,0,0
Lubbock,11/1/2014 0:00,0,0,0.01,0
Lourdes,11/1/2014 0:00,0,0,0,0
Lexington,11/1/2014 0:00,0,0,0,0
Little Rock,11/1/2014 0:00,0,0,0.02,0
Odessa,11/1/2014 0:00,0,0,0.01,0
Kansas City,11/1/2014 0:00,0,0,0,0
Memphis,11/1/2014 0:00,0,0,0.04,0
Milwaukee,11/1/2014 0:00,0,0,0,0
Monroe,11/1/2014 0:00,0,0,0.05,0
Minneapolis,11/1/2014 0:00,0,0,0,0
Oklahoma City,11/1/2014 0:00,0,0,0.03,0
Omaha,11/1/2014 0:00,0,0,0,0
Norfolk,11/1/2014 0:00,0,0,0.01,0
Paphos,11/1/2014 0:00,0,0,0,0
Perpignan,11/1/2014 0:00,0,0,0.01,0
Pittsburgh,11/1/2014 0:00,0,0,0,0
Palermo,11/1/2014 0:00,0,0,0.03,0
Pau,11/1/2014 0:00,0,0,0,0
Providence,11/1/2014 0:00,0,0,0,0
Setif,11/1/2014 0:00,0,0,0.03,0
Richmond,11/1/2014 0:00,0,0,0.01,0
"Rochester, NY, US",11/1/2014 0:00,0,0,0,0
Savannah,11/1/2014 0:00,0,0,0.06,0
Louisville,11/1/2014 0:00,0,0,0.01,0
Seattle,11/1/2014 0:00,0,0,0,0
Salt Lake City,11/1/2014 0:00,0,0,0,0
Sharm el-Sheikh,11/1/2014 0:00,0,0,0,0
Lamezia Terme,11/1/2014 0:00,0,0,0,0
Strasbourg,11/1/2014 0:00,0,0,0,0
Syracuse,11/1/2014 0:00,0,0,0,0
Venice,11/1/2014 0:00,0,0,0,0
Tulsa,11/1/2014 0:00,0,0,0.03,0
Knoxville,11/1/2014 0:00,0,0,0,0
Valencia,11/1/2014 0:00,0,0,0,0
Springdale,11/1/2014 0:00,0,0,0.05,0
Ottawa,11/1/2014 0:00,0,0,0,0
Quebec City,11/1/2014 0:00,0,0,0,0
Montreal,11/1/2014 0:00,0,0,0,0
Zakinthos,11/1/2014 0:00,0,0,0,0
Annaba,12/1/2014 0:00,0,0,0,0
Anapa,12/1/2014 0:00,0,0,0,0
Atlantic City,12/1/2014 0:00,0,0,0,0
Malaga,12/1/2014 0:00,0,0,0,0
Ajaccio,12/1/2014 0:00,0,0,0.02,0
Alicante,12/1/2014 0:00,0,0,0.01,0
Algiers,12/1/2014 0:00,0,0,0.03,0
Amsterdam,12/1/2014 0:00,0,0,0,0
Athens,12/1/2014 0:00,0,0,0.01,0
Austin,12/1/2014 0:00,0,0,0.02,0
Antalya,12/1/2014 0:00,0,0,0,0
Barcelona,12/1/2014 0:00,0,0,0,0
Hartford,12/1/2014 0:00,0,0,0,0
Berlin,12/1/2014 0:00,0,0,0,0
Brest,12/1/2014 0:00,0,0,0.02,0
Beirut,12/1/2014 0:00,0,0,0.04,0
Milan,12/1/2014 0:00,0,0,0,0
"Birmingham, US",12/1/2014 0:00,0,0,0,0
Bastia,12/1/2014 0:00,0,0,0.02,0
Bilbao,12/1/2014 0:00,0,0,0,0
Biarritz,12/1/2014 0:00,0,0,0,0
Bejaia,12/1/2014 0:00,0,0,0.01,0
Bodrum,12/1/2014 0:00,0,0,0,0
Batna,12/1/2014 0:00,0,0,0,0
Nashville,12/1/2014 0:00,0,0,0,0
Bordeaux,12/1/2014 0:00,0,0,0.02,0
Boston,12/1/2014 0:00,0,0,0,0
Bari,12/1/2014 0:00,0,0,0,0
Brussels,12/1/2014 0:00,0,0,0,0
Biskra,12/1/2014 0:00,0,0,0,0
Basel,12/1/2014 0:00,0,0,0,0
Buffalo,12/1/2014 0:00,0,0,0,0
Baltimore,12/1/2014 0:00,0,0,0,0
Akron,12/1/2014 0:00,0,0,0,0
Clermont-Ferrand,12/1/2014 0:00,0,0,0,0
Chania,12/1/2014 0:00,0,0,0,0
Cleveland,12/1/2014 0:00,0,0,0,0
Charlotte,12/1/2014 0:00,0,0,0,0
Calvi,12/1/2014 0:00,0,0,0.01,0
"Columbus, OH, US",12/1/2014 0:00,0,0,0,0
Catania,12/1/2014 0:00,0,0,0.02,0
Cincinnati,12/1/2014 0:00,0,0,0,0
Constantine,12/1/2014 0:00,0,0,0,0
Dayton,12/1/2014 0:00,0,0,0,0
Washington DC,12/1/2014 0:00,0,0,0,0
Denver,12/1/2014 0:00,0,0,0,0
Djerba,12/1/2014 0:00,0,0,0.01,0
Moscow,12/1/2014 0:00,0,0,0,0
Des Moines,12/1/2014 0:00,0,0,0,0
Detroit,12/1/2014 0:00,0,0,0,0
Dusseldorf,12/1/2014 0:00,0,0,0,0
El Paso,12/1/2014 0:00,0,0,0,0
Frankfurt,12/1/2014 0:00,0,0,0,0
Figari,12/1/2014 0:00,0,0,0.01,0
Grand Rapids,12/1/2014 0:00,0,0,0,0
Greensboro,12/1/2014 0:00,0,0,0,0
"Greenville, SC, US",12/1/2014 0:00,0,0,0,0
Geneva,12/1/2014 0:00,0,0,0,0
Hamburg,12/1/2014 0:00,0,0,0,0
Heraklion,12/1/2014 0:00,0,0,0,0
Tokyo,12/1/2014 0:00,0,0,0,0
Huntsville,12/1/2014 0:00,0,0,0,0
Ibiza,12/1/2014 0:00,0,0,0,0
Wichita,12/1/2014 0:00,0,0,0,0
Kiev,12/1/2014 0:00,0,0,0,0
Indianapolis,12/1/2014 0:00,0,0,0,0
Istanbul,12/1/2014 0:00,0,0,0,0
Jackson,12/1/2014 0:00,0,0,0,0
Mikonos,12/1/2014 0:00,0,0,0,0
Santorini,12/1/2014 0:00,0,0,0,0
Kos,12/1/2014 0:00,0,0,0,0
Krasnodar,12/1/2014 0:00,0,0,0,0
Las Vegas,12/1/2014 0:00,0,0,0,0
Lubbock,12/1/2014 0:00,0,0,0,0
Lourdes,12/1/2014 0:00,0,0,0,0
Lexington,12/1/2014 0:00,0,0,0,0
Little Rock,12/1/2014 0:00,0,0,0,0
Lyon,12/1/2014 0:00,0,0,0,0
Madrid,12/1/2014 0:00,0,0,0,0
Odessa,12/1/2014 0:00,0,0,0,0
Kansas City,12/1/2014 0:00,0,0,0,0
Chicago,12/1/2014 0:00,0,0,0,0
Memphis,12/1/2014 0:00,0,0,0,0
Monastir,12/1/2014 0:00,0,0,0,0
Milwaukee,12/1/2014 0:00,0,0,0,0
Monroe,12/1/2014 0:00,0,0,0,0
Montpellier,12/1/2014 0:00,0,0,0,0
Minneapolis,12/1/2014 0:00,0,0,0,0
Myrtle Beach,12/1/2014 0:00,0,0,0.06,0
Naples,12/1/2014 0:00,0,0,0.01,0
Nantes,12/1/2014 0:00,0,0,0.01,0
Oklahoma City,12/1/2014 0:00,0,0,0,0
Omaha,12/1/2014 0:00,0,0,0,0
Norfolk,12/1/2014 0:00,0,0,0,0
Oran,12/1/2014 0:00,0,0,0,0
Paphos,12/1/2014 0:00,0,0,0,0
Perpignan,12/1/2014 0:00,0,0,0,0
Philadelphia,12/1/2014 0:00,0,0,0,0
Pittsburgh,12/1/2014 0:00,0,0,0,0
Palermo,12/1/2014 0:00,0,0,0.01,0
Pau,12/1/2014 0:00,0,0,0,0
Providence,12/1/2014 0:00,0,0,0,0
Setif,12/1/2014 0:00,0,0,0,0
Raleigh,12/1/2014 0:00,0,0,0,0
Richmond,12/1/2014 0:00,0,0,0,0
"Rochester, NY, US",12/1/2014 0:00,0,0,0,0
"San Antonio, US",12/1/2014 0:00,0,0,0.03,0
Savannah,12/1/2014 0:00,0,0,0,0
Louisville,12/1/2014 0:00,0,0,0,0
Seattle,12/1/2014 0:00,0,0,0,0
Salt Lake City,12/1/2014 0:00,0,0,0,0
Sharm el-Sheikh,12/1/2014 0:00,0,0,0.01,0
St. Louis,12/1/2014 0:00,0,0,0,0
Lamezia Terme,12/1/2014 0:00,0,0,0,0
Strasbourg,12/1/2014 0:00,0,0,0,0
Syracuse,12/1/2014 0:00,0,0,0,0
Toulon,12/1/2014 0:00,0,0,0.01,0
